channel,idx,mrs,magnitude,angle,date
14.0,0.0001883731398712714,0.00022236306898688134,0.00029142713373024506,49.73065695924057,2022-03-07
15.0,0.00018320036561355113,-1.0377915027702413e-05,0.00018349407369520418,-3.242220172161016,2022-03-07
16.0,-0.00045860035005697346,-0.0002893858975541142,0.0005422715913410722,-147.74726333330185,2022-03-07
17.0,-2.4030110954639514e-05,-0.0001224356267205137,0.0001247715068552803,-101.1041438559111,2022-03-07
18.0,0.0005060688151055765,0.00016552649102326248,0.0005324515610389704,18.112039244556627,2022-03-07
19.0,0.00017836099622451049,-5.4936182105666515e-05,0.0001866296575535271,-17.119124348528572,2022-03-07
20.0,-9.410852009340517e-05,-0.0001224405783752876,0.00015442832896539994,-127.54608322325974,2022-03-07
21.0,-0.0001057834001691601,0.00010267156272349896,0.00014741634082907513,135.85525385055158,2022-03-07
22.0,-8.129004255113677e-05,-0.00022519818579688655,0.00023942074660349437,-109.84811870062892,2022-03-07
23.0,-0.00011008945535744218,8.355755251023644e-05,0.00013820836719388293,142.80161546635853,2022-03-07
24.0,0.0001434855964008722,1.758181127425459e-05,0.00014455876473668935,6.985835937909374,2022-03-07
25.0,-8.701521262559746e-05,-4.1174142789857306e-05,9.626503655407551e-05,-154.67727058291686,2022-03-07
26.0,0.00020973347785681283,5.8702745891052266e-05,0.0002177938109980714,15.636514121982625,2022-03-07
27.0,0.00013737183042035513,-4.101069480122786e-05,0.0001433628155454484,-16.622357010230736,2022-03-07
28.0,0.00016284672671655208,-5.4275263352275986e-05,0.000171653315185738,-18.43273889641189,2022-03-07
29.0,0.00012682323654233596,-1.5191354657845344e-05,0.00012772983435131252,-6.830555121114898,2022-03-07
30.0,-0.00017902406104955635,-4.691000483441148e-05,0.00018506799558065082,-165.31679319964843,2022-03-07
31.0,0.00012022711141508712,-0.0002330813324474652,0.0002622622082090776,-62.71458625853404,2022-03-07
32.0,0.0011398406739910076,0.0016990018983971177,0.0020459335797726385,56.14279782656402,2022-03-07
33.0,8.83325211134328e-05,9.982877320500355e-06,8.889483745331453e-05,6.447909158168501,2022-03-07
34.0,0.0012906292701649039,0.00026628348045647823,0.0013178128869344114,11.657723756935713,2022-03-07
35.0,-9.047539331745752e-06,0.00014418575691628623,0.00014446934091869414,93.59055608556167,2022-03-07
36.0,0.0003979305682719429,8.827476345610061e-05,0.000407604184262701,12.507641306290857,2022-03-07
37.0,-0.00016919784179665482,0.000607270321115283,0.0006304007872584748,105.56891651178337,2022-03-07
38.0,9.328926519343978e-05,3.969717058019548e-05,0.00010138418196348518,23.051098592032805,2022-03-07
39.0,0.00040029256481998517,0.00027794942022253986,0.00048732947546009165,34.77478677327289,2022-03-07
40.0,-0.0001909153580970358,-0.00016833619236970984,0.0002545304453672514,-138.5963421225751,2022-03-07
41.0,8.813099132501318e-05,9.20273772473398e-05,0.0001274209943257144,46.23897475477924,2022-03-07
42.0,0.0002271597803534909,0.00016564609348805503,0.0002811408794503206,36.09972542868091,2022-03-07
43.0,-1.8028283252454472e-05,0.00018153242960033768,0.00018242544228706776,95.67154084158133,2022-03-07
44.0,-6.469528948797477e-05,-5.4522010256620115e-05,8.460573316481482e-05,-139.87745721388075,2022-03-07
45.0,-0.00023053772527189466,3.215491924689349e-07,0.0002305379495168263,179.92008509815227,2022-03-07
46.0,-0.0002777674629572715,2.7629173674069035e-05,0.0002791382000293601,174.31954722591828,2022-03-07
47.0,-0.0001239019832420169,-5.875947812251482e-05,0.00013712905498301713,-154.6277448922029,2022-03-07
48.0,0.00012493776667120174,2.0971597041764965e-05,0.00012668564805560974,9.528630754016175,2022-03-07
49.0,0.00017344504438378125,5.695473582821583e-05,0.0001825569099063459,18.17880354001332,2022-03-07
50.0,-0.0006217875508022189,1.8779524544296423e-07,0.0006217875791616267,179.98269525558135,2022-03-07
51.0,0.00019108424509486525,0.00016845802226072619,0.0002547376964398278,41.39908878063107,2022-03-07
52.0,-0.0006902311572281089,-2.2778492609066024e-05,0.0006906069143398404,-178.10985349699828,2022-03-07
53.0,-0.00020657814811760524,4.0901294323973945e-05,0.00021058833575740985,168.80060864446787,2022-03-07
54.0,5.486167310146337e-05,8.51538666723656e-05,0.00010129651615305853,57.207725576569075,2022-03-07
55.0,-2.5522302894078204e-05,0.00011195694615456988,0.00011482920245858338,102.84199489795286,2022-03-07
56.0,-0.0004553875208712025,-0.0005576339410114839,0.0007199537529127958,-129.2365330752556,2022-03-07
57.0,-0.0003878010104401216,-0.00032694657135997273,0.0005072313912036804,-139.8664927481732,2022-03-07
58.0,-0.0002643848016605497,0.00011122915527632496,0.00028682965037208583,157.1830551129555,2022-03-07
59.0,3.977492425162055e-05,0.00010849044326538764,0.00011555181036722205,69.86598000576076,2022-03-07
60.0,-9.244136468043393e-05,-1.6407785066148263e-05,9.388621472164002e-05,-169.93516543410362,2022-03-07
61.0,-0.00014343876515258966,9.839318749123875e-05,0.0001739422280332922,145.55145441181418,2022-03-07
62.0,-8.215041928446192e-05,2.5076907649919778e-05,8.589262300043874e-05,163.0248761622665,2022-03-07
63.0,0.0001349177006491017,0.00015690448533600533,0.00020693429746418868,49.30870037673611,2022-03-07
64.0,-0.0014144591672481301,-0.0007315289851571213,0.0015924287713857978,-152.65293096253075,2022-03-07
